question,answer
"欲将 ${\mathrm{{Ag}}}^{ + }$ 从 ${\mathrm{{Pb}}}^{2 + },{\mathrm{{Sn}}}^{4 + },{\mathrm{{Al}}}^{3 + },{\mathrm{{Hg}}}^{2 + }$ 混合溶液中分离出来,可加入的试剂为___。
",氨水
"Cu(I) 在水溶液中不稳定, 容易发生 ___ 反应, 该反应的离子方程式为 ___ 。因此, $\mathrm{{Cu}}\left( \mathrm{I}\right)$ 在水溶液中只能以 ___ 和 ___ 形式存在,如___ 和 _______________ 。","歧化, $2{\mathrm{{Cu}}}^{ + } = {\mathrm{{Cu}}}^{2 + } + \mathrm{{Cu}}$ ,沉淀,配位化合物, $\mathrm{{CuI}}\text{、}{\mathrm{{Cu}}}_{2}\mathrm{O},{\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{2}\right\rbrack }^{ - }\text{、}{\left\lbrack {\mathrm{{CuCl}}}_{2}\right\rbrack }^{ - }$ "
"${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$ 是利尿剂。有时服用含有 ${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$ 的药剂会引起中毒,其原因是 ___",${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$ 光照分解为有毒的 ${\mathrm{{HgCl}}}_{2}$ 和 $\mathrm{{Hg}}$
给出下列离子的颜色。${\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{4}\right\rbrack }^{2 + }$,${\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{4}\right\rbrack }^{2 + }$ 蓝
给出下列离子的颜色。${\left\lbrack {\mathrm{{CuCl}}}_{4}\right\rbrack }^{2 - }$,${\left\lbrack {\mathrm{{CuCl}}}_{4}\right\rbrack }^{2 - }$ 黄
给出下列离子的颜色。${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{3 - }$,${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{3 - }$ 无
给出下列离子的颜色。${\left\lbrack {\mathrm{{CuCl}}}_{2}\right\rbrack }^{ - }$,${\left\lbrack {\mathrm{{CuCl}}}_{2}\right\rbrack }^{ - }$ 无
给出下列离子的颜色。${\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + }$,${\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + }$ 深蓝
给出下列离子的颜色。${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{2 - }$,${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{2 - }$ 蓝
给出下列离子的颜色。${\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}\right\rbrack }^{ + }$,${\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}\right\rbrack }^{ + }$ 无
给出下列离子的颜色。${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ ,${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ 黄
给出下列离子的颜色。${\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }$ ,${\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }$ 无
给出下列离子的颜色。${\left\lbrack \mathrm{{Hg}}{\left( \mathrm{{SCN}}\right) }_{4}\right\rbrack }^{2 - }$,${\left\lbrack \mathrm{{Hg}}{\left( \mathrm{{SCN}}\right) }_{4}\right\rbrack }^{2 - }$ 无
给出下列化合物的颜色。${\mathrm{{CuSO}}}_{4}$,${\mathrm{{CuSO}}}_{4}$ 白
给出下列化合物的颜色。${\mathrm{{CuCl}}}_{2}$,${\mathrm{{CuCl}}}_{2}$ 棕黄
给出下列化合物的颜色。${\mathrm{{CuCl}}}_{2} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$,${\mathrm{{CuCl}}}_{2} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$ 绿
给出下列化合物的颜色。${\mathrm{K}}_{2}\left\lbrack {\mathrm{{Cu}}{\left( {\mathrm{C}}_{2}{\mathrm{O}}_{4}\right) }_{2}}\right\rbrack \cdot 2{\mathrm{H}}_{2}\mathrm{O}$,${\mathrm{K}}_{2}\left\lbrack {\mathrm{{Cu}}\left( {{\mathrm{C}}_{2}{\mathrm{O}}_{4}}\right) }\right\rbrack \cdot 2{\mathrm{H}}_{2}\mathrm{O}$ 蓝
给出下列化合物的颜色。$\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}$,$\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}$ 淡蓝
给出下列化合物的颜色。$\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2} \cdot {\mathrm{{CuCO}}}_{3}$,$\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2} \cdot {\mathrm{{CuCO}}}_{3}$ 绿
给出下列化合物的颜色。$\mathrm{{CuBr}}$,$\mathrm{{CuBr}}$ 白
给出下列化合物的颜色。$\mathrm{{CuI}}$,$\mathrm{{CuI}}$ 白
给出下列化合物的颜色。$\mathrm{{CuCN}}$,$\mathrm{{CuCN}}$ 白
给出下列化合物的颜色。$\mathrm{{CuO}}$ ,$\mathrm{{CuO}}$ 棕黑
给出下列化合物的颜色。${\mathrm{{Cu}}}_{2}\mathrm{O}$ ,${\mathrm{{Cu}}}_{2}\mathrm{O}$ 红
给出下列化合物的颜色。${\mathrm{{Ag}}}_{2}\mathrm{O}$,${\mathrm{{Ag}}}_{2}\mathrm{O}$ 褐
给出下列化合物的颜色。${\mathrm{{AgPO}}}_{3}$ ,${\mathrm{{AgPO}}}_{3}$ 白
给出下列化合物的颜色。 ${\mathrm{{Ag}}}_{3}{\mathrm{{PO}}}_{4}$,${\mathrm{{Ag}}}_{3}{\mathrm{{PO}}}_{4}$ 黄
给出下列化合物的颜色。${\mathrm{{Ag}}}_{4}{\mathrm{P}}_{2}{\mathrm{O}}_{7}$,${\mathrm{{Ag}}}_{4}{\mathrm{P}}_{2}{\mathrm{O}}_{7}$ 白
给出下列化合物的颜色。$\mathrm{{AgCl}}$,$\mathrm{{AgCl}}$ 白
给出下列化合物的颜色。$\mathrm{{AgBr}}\;$,$\mathrm{{AgBr}}$ 浅黄
给出下列化合物的颜色。$\mathrm{{AgI}}$ ,$\mathrm{{AgI}}$ 黄
给出下列化合物的颜色。${\mathrm{{Ag}}}_{2}{\mathrm{S}}_{2}{\mathrm{O}}_{3}$,${\mathrm{{Ag}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 白
给出下列化合物的颜色。$\mathrm{{Zn}}\left\lbrack {\mathrm{{Hg}}{\left( \mathrm{{SCN}}\right) }_{4}}\right\rbrack$,$\mathrm{{Zn}}\left\lbrack {\mathrm{{Hg}}{\left( \mathrm{{SCN}}\right) }_{4}}\right\rbrack$ 白
给出下列化合物的颜色。$\mathrm{{ZnO}}$ ,$\mathrm{{ZnO}}$ 白
给出下列化合物的颜色。 $\mathrm{{ZnS}}$ ,$\mathrm{{ZnS}}$ 白
给出下列化合物的颜色。 $\mathrm{{CdO}}$ ,$\mathrm{{CdO}}$ 暗棕
给出下列化合物的颜色。$\mathrm{{HgO}}$ ,$\mathrm{{HgO}}$ 黄 (或红)
给出下列化合物的颜色。$\mathrm{{Hg}}{\mathrm{{Cl}}}_{2}$ ,${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$ 白
给出下列化合物的颜色。${\mathrm{{Hg}}}_{2}{\mathrm{I}}_{2}$ ,${\mathrm{{Hg}}}_{2}{\mathrm{I}}_{2}$ 黄
给出下列化合物的颜色。${\mathrm{{HgI}}}_{2}$ ,${\mathrm{{HgI}}}_{2}$ 红
"比较大小。在水中的溶解度 $\mathrm{{CuCl}}$  ___  $\mathrm{{AgCl}}$,${\mathrm{{AgClO}}}_{4}$ ___ ${\mathrm{{KClO}}}_{4}$ 。",">,>"
"比较大小。在氨水中的溶解度 $\mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3}$ ___ $\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2}$,${\mathrm{{ZnCl}}}_{2}$ ___ $\mathrm{{ZnO}}$ 。","<,>"
"比较大小。在 $\mathrm{{KI}}$ 溶液中的溶解度 ${\mathrm{{HgI}}}_{2}$ ___ ${\mathrm{{PbI}}}_{2}$,${\mathrm{{PbI}}_{2}}$ ___ ${\mathrm{{AgI}}_{2}}$。",">,>"
"比较大小。在 $\mathrm{{NaOH}}$ 溶液中的溶解度 $\mathrm{{ZnO}}$ ___ $\mathrm{{CuO}},\mathrm{{CuO}}$ ___ $\mathrm{{CdO}}$ 。",">,>"
